City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,Maarianhamina,60.0973,19.9348,57.06,72,0,11.5,AX,2021-09-27 12:31:40
182,Luderitz,-26.6481,15.1594,65.21,69,1,28.59,NA,2021-09-27 12:31:41
183,Yurimaguas,-5.9,-76.0833,80.19,69,54,0.29,PE,2021-09-27 12:31:44
184,Mataura,-46.1927,168.8643,38.48,91,16,2.86,NZ,2021-09-27 12:31:45
185,Raychikhinsk,49.7838,129.4121,51.33,77,0,7.72,RU,2021-09-27 12:29:50
186,Longonjo,-12.9067,15.2533,89.8,17,100,5.46,AO,2021-09-27 12:31:46
187,Vila Velha,-20.3297,-40.2925,79.97,63,40,11.5,BR,2021-09-27 12:31:48
188,Byron Bay,-28.65,153.6167,64.35,61,66,5.41,AU,2021-09-27 12:31:49
189,Pangnirtung,66.1451,-65.7125,28.4,80,75,2.3,CA,2021-09-27 12:31:50
190,Surskoye,54.4821,46.7214,43.05,92,100,11.88,RU,2021-09-27 12:31:52
191,Adrar,20.5022,-10.0711,103.98,6,0,16.73,MR,2021-09-27 12:31:53
192,Conceicao Do Araguaia,-8.2578,-49.2647,94.21,34,76,6.04,BR,2021-09-27 12:31:54
193,Hay River,60.8156,-115.7999,44.58,76,75,10.36,CA,2021-09-27 12:31:56
194,Boyolangu,-8.1181,111.8935,74.89,83,68,7.78,ID,2021-09-27 12:31:57
195,Yishui,35.7847,118.6281,66.07,96,26,4.88,CN,2021-09-27 12:31:57
196,Isangel,-19.55,169.2667,71.71,73,79,8.05,VU,2021-09-27 12:31:58
197,Sao Filipe,14.8961,-24.4956,81.16,76,40,7.56,CV,2021-09-27 12:31:59
198,Faanui,-16.4833,-151.75,78.98,75,15,18.95,PF,2021-09-27 12:32:00
199,Boundiali,9.5217,-6.4869,86.92,52,99,4.38,CI,2021-09-27 12:32:02
200,Youkounkoun,12.5333,-13.1333,91.47,56,31,4.65,GN,2021-09-27 12:32:03
201,Severnoye,56.3491,78.3619,39.2,82,100,6.38,RU,2021-09-27 12:32:05
202,Bredasdorp,-34.5322,20.0403,57.27,88,100,11.5,ZA,2021-09-27 12:32:06
203,Airai,-8.9266,125.4092,60.06,91,61,2.33,TL,2021-09-27 12:32:08
204,Cieza,38.24,-1.4199,87.84,32,100,2.66,ES,2021-09-27 12:27:53
205,Tura,25.5198,90.2201,79.09,83,43,3.22,IN,2021-09-27 12:23:40
206,Kosh-Agach,50.0,88.6667,27.79,35,94,5.57,RU,2021-09-27 12:32:08
207,Fairbanks,64.8378,-147.7164,33.76,75,90,2.3,US,2021-09-27 12:24:45
208,Kodiak,57.79,-152.4072,39.88,52,0,6.02,US,2021-09-27 12:23:14
209,Edea,3.8,10.1333,87.58,76,100,2.55,CM,2021-09-27 12:32:09
210,Tigre,-34.426,-58.5796,60.75,89,90,10.36,AR,2021-09-27 12:32:11
211,Muros,42.7762,-9.0603,71.83,53,100,10.42,ES,2021-09-27 12:32:12
212,Mikhaylovsk,45.1283,42.0256,60.69,58,0,11.18,RU,2021-09-27 12:32:13
213,Zhigansk,66.7697,123.3711,35.24,82,10,26.28,RU,2021-09-27 12:32:15
